Array Length,Presorted Rate,Duplicate Rate,Max Digits,Fastest Sort
11,0.6,0.3636,7,I
19,0.4444,0.2632,7,I
49,0.5417,0.2857,8,I
40,0.5385,0.4,8,I
17,0.5625,0.4706,6,I
90,0.4382,0.3667,8,I
52,0.549,0.3077,9,I
79,0.5128,0.3671,9,I
86,0.4471,0.314,9,I
63,0.5806,0.5079,9,I
8,0.5714,0.375,5,I
50,0.6327,0.46,8,I
53,0.5769,0.4906,8,I
1,1,0,8,H
21,0.7,0.4762,10,I
52,0.5686,0.3077,9,I
13,0.5,0.3846,8,I
71,0.4429,0.2817,9,I
46,0.5111,0.3261,9,I
23,0.5455,0.4783,7,Q
8,0.5714,0.5,10,I
98,0.5361,0.3367,10,I
95,0.5106,0.3263,10,I
49,0.5833,0.4898,10,I
49,0.5,0.3469,10,I
99,0.6122,0.4141,10,I
27,0.4615,0.3704,10,I
48,0.7447,0.7292,1,I
7,0.8333,0.7143,1,I
85,0.8214,0.8,1,I
57,0.8393,0.8246,1,I
2,1,0.5,1,I
12,0.8182,0.75,1,I
39,0.5263,0.3846,10,I
8,0.7143,0.625,2,I
39,0.7368,0.7179,2,I
41,0.675,0.5854,2,I
61,0.8333,0.8197,1,I
25,0.7917,0.76,1,I
64,0.8254,0.8125,1,I
47,0.7826,0.766,1,I
97,0.6458,0.6186,2,I
97,0.7083,0.6598,2,I
42,0.7317,0.6667,2,I
79,0.7564,0.7342,2,I
40,0.7692,0.65,2,I
92,0.7253,0.6413,2,I
56,0.8,0.6964,2,I
41,0.675,0.6098,3,I
69,0.6912,0.6667,3,I
68,0.7164,0.6618,3,I
65,0.6094,0.5385,3,I
76,0.72,0.6842,3,I
43,0.5952,0.5581,3,I
94,0.7097,0.6277,3,I
86,0.7059,0.6628,4,I
61,0.7,0.6885,4,I
48,0.6809,0.6667,4,I
67,0.7576,0.7015,4,I
43,0.7619,0.7209,3,I
44,0.7209,0.6818,3,I
18,0.7059,0.6111,3,I
57,0.7679,0.7193,5,I
58,0.6491,0.569,4,I
63,0.6129,0.5714,4,I
96,0.7368,0.6875,4,I
49,0.6667,0.6531,4,I
16,0.6,0.5625,4,I
86,0.7412,0.7093,4,I
68,0.7015,0.6912,5,I
21,0.8,0.7143,5,I
26,0.8,0.7308,4,I
47,0.6087,0.5532,5,I
84,0.747,0.7024,5,I
4,1,0.75,5,I
38,0.7027,0.6316,5,I
66,0.6,0.5606,6,I
34,0.697,0.6765,6,I
25,0.75,0.72,6,I
10,0.6667,0.6,5,I
96,0.6526,0.625,6,I
64,0.7302,0.7188,5,I
27,0.6923,0.5556,4,I
35,0.7941,0.7429,7,Q
83,0.7805,0.747,7,I
83,0.6829,0.6627,6,I
71,0.6714,0.5915,6,I
96,0.7053,0.6042,6,I
29,0.6786,0.6207,6,I
92,0.7692,0.7609,6,I
49,0.7292,0.6939,7,I
17,0.8125,0.7647,7,I
44,0.6279,0.6136,7,I
41,0.675,0.561,7,I
68,0.7761,0.6912,7,I
58,0.614,0.569,7,I
51,0.68,0.5686,7,I
83,0.5976,0.5301,8,I
22,0.7143,0.6818,7,I
77,0.5921,0.5584,8,I
86,0.6941,0.5698,8,I
21,0.7,0.5714,8,I
48,0.766,0.7292,8,I
97,0.7083,0.6804,7,I
83,0.7683,0.7349,8,I
99,0.5816,0.5354,9,I
72,0.6761,0.6111,9,I
16,0.6667,0.5625,8,I
49,0.5833,0.551,8,I
1,1,0,8,M
57,0.6071,0.5965,8,I
79,0.641,0.519,9,I
76,0.68,0.5658,9,I
12,0.8182,0.75,6,I
31,0.7333,0.6774,9,I
91,0.6889,0.5934,9,I
92,0.8022,0.75,9,I
81,0.65,0.5185,9,I
49,0.7083,0.6327,10,I
79,0.7564,0.7468,10,I
7,0.8333,0.7143,6,I
31,0.7,0.5484,10,I
9,0.75,0.5556,8,I
15,0.7143,0.5333,10,I
39,0.6316,0.5641,9,I
2,1,0.5,1,I
36,0.8571,0.8333,1,I
54,0.8679,0.8519,1,I
25,1,0.96,1,I
63,0.6129,0.5873,9,I
97,0.7396,0.6701,10,I
49,0.7083,0.6939,10,I
60,0.8983,0.8833,2,I
34,0.9697,0.9412,1,I
95,0.883,0.8737,1,I
64,0.8889,0.875,1,I
79,0.9487,0.9367,1,I
90,0.9101,0.9,1,I
29,0.9643,0.931,1,I
38,0.9459,0.9211,2,I
74,0.9726,0.9595,1,I
10,1,0.9,2,I
15,1,0.9333,2,I
68,0.8358,0.8235,2,I
42,0.9756,0.9524,2,I
5,1,0.8,2,I
35,0.9706,0.9429,2,I
1,1,0,2,H
4,1,0.75,1,I
4,1,0.75,3,I
50,0.8571,0.84,3,I
28,0.963,0.9286,2,I
51,0.94,0.9216,2,I
61,0.8167,0.8033,4,I
8,1,0.875,4,I
98,0.8557,0.8367,3,I
33,0.9063,0.8788,3,I
77,0.9474,0.9351,3,I
10,1,0.9,3,I
78,0.8312,0.8205,3,I
35,0.9412,0.9143,4,I
16,1,0.9375,4,I
84,0.9277,0.9167,4,I
99,0.8163,0.7879,4,I
17,1,0.9412,3,I
53,0.9615,0.9434,4,I
33,1,0.9697,3,I
94,0.8602,0.8511,5,I
79,0.7821,0.7722,5,I
98,0.8041,0.7857,5,I
39,0.9737,0.9487,4,I
37,0.8889,0.8649,5,I
9,1,0.8889,3,I
6,1,0.8333,4,I
6,1,0.8333,4,I
40,0.8718,0.85,5,I
57,0.8929,0.8772,6,I
46,0.9111,0.8913,4,I
71,0.7714,0.7606,5,I
35,0.8235,0.8,5,I
1,1,0,5,M
35,0.9118,0.8857,6,I
4,1,0.75,6,I
58,0.9649,0.9483,6,I
83,0.8902,0.8795,6,I
21,1,0.9524,3,I
66,0.7846,0.7727,6,I
33,0.8438,0.8182,6,I
15,0.9286,0.8667,6,I
18,1,0.9444,2,I
11,1,0.9091,2,I
68,0.8657,0.8529,6,I
69,1,0.9855,4,I
21,1,0.9524,3,I
15,1,0.9333,6,I
94,0.8495,0.8191,8,I
24,0.9565,0.9167,8,I
96,0.8,0.7813,8,I
30,0.8621,0.8,8,I
75,1,0.9867,5,I
52,1,0.9808,5,I
58,0.9474,0.931,6,I
29,0.9643,0.931,7,I
4,1,0.75,8,I
51,1,0.9804,6,I
56,1,0.9821,8,I
34,1,0.9706,2,I
98,1,0.9898,2,I
53,0.9808,0.9623,4,I
14,0.9231,0.8571,9,I
36,0.9429,0.9167,8,I
77,0.8816,0.8701,8,I
36,0.9143,0.8889,9,I
12,1,0.9167,8,I
31,1,0.9677,9,I
63,0.9355,0.9206,9,I
54,0.9245,0.9074,10,I
17,0.875,0.8235,5,I
96,1,0.9896,3,I
78,0.9481,0.9359,9,I
79,0.7821,0.7595,10,I
82,0.7901,0.7683,9,I
32,1,0.9688,5,I
5,0.75,0.4,1,I
7,0.6667,0.2857,1,I
23,1,0.9565,4,I
15,1,0.9333,5,I
60,1,0.9833,10,I
52,0.9216,0.9038,8,I
48,0.9362,0.9167,9,I
87,0.8605,0.7931,1,I
83,0.8293,0.8072,1,I
94,0.8387,0.8085,1,I
76,0.8,0.7763,1,I
99,0.8367,0.8182,1,I
79,0.8077,0.7848,1,I
42,0.7805,0.5714,1,I
71,0.6143,0.3662,2,I
99,0.7857,0.4747,2,I
17,0.6875,0.2941,2,I
84,0.6145,0.4048,2,I
6,0.4,0.1667,2,I
4,0.6667,0.25,2,H
79,0.8077,0.7722,1,I
85,0.5833,0.2,3,I
98,0.7423,0.3469,3,I
78,0.5714,0.3462,3,I
68,0.7313,0.2941,2,I
3,0.5,0.3333,2,H
98,0.7938,0.551,2,I
8,0.7143,0.5,1,I
97,0.6979,0.3711,3,I
11,0.6,0.0909,3,I
31,0.7667,0.3871,3,I
66,0.6,0.2879,3,I
20,0.6316,0.25,3,I
12,0.6364,0.0833,3,I
84,0.6747,0.25,3,I
79,0.6795,0.2025,4,I
77,0.7368,0.2857,4,I
27,0.7692,0.1481,4,I
74,0.5479,0.2703,4,I
95,0.6064,0.1684,4,I
32,0.6129,0.1563,4,I
56,0.7273,0.1607,4,I
21,0.65,0.1905,5,I
46,0.7111,0.1739,5,I
85,0.619,0.0824,5,I
43,0.6905,0.3023,5,I
85,0.5595,0.2353,4,I
20,0.5789,0.1,4,I
33,0.6563,0.1515,4,I
3,1,0.3333,4,H
88,0.7126,0.2841,5,I
46,0.7333,0.1522,5,I
53,0.6346,0.2453,5,I
62,0.6393,0.1452,5,I
66,0.7231,0.2576,5,I
82,0.642,0.1585,5,I
35,0.7059,0.1714,6,I
30,0.6207,0.2333,6,I
79,0.6538,0.1139,6,I
42,0.6098,0.1667,6,I
85,0.5833,0.2588,6,I
76,0.6267,0.3026,6,I
28,0.6667,0.2143,6,I
18,0.5294,0.0556,6,I
72,0.6761,0.1944,7,I
18,0.5882,0.1111,7,I
31,0.5333,0.0968,7,I
51,0.74,0.2353,7,I
90,0.764,0.2778,6,I
69,0.6765,0.0725,6,I
51,0.54,0.0784,8,I
34,0.5455,0.1176,8,I
53,0.6731,0.2075,7,I
58,0.6491,0.1724,7,I
13,0.5,0.0769,7,I
19,0.6111,0.2105,7,I
5,0.5,0.4,7,I
